Matricule;Code;Valeur;"Date debut";"Date fin"
2108;AB-103;0;04/03/2024;08/03/2024
2108;AB-103;0;19/02/2024;23/02/2024
2108;AB-103;0;19/02/2024;23/02/2024
2108;AB-103;0;07/03/2024;07/03/2024
2108;AB-103;0;07/03/2024;07/03/2024
2108;AB-103;0.5;12/03/2024;12/03/2024
2108;AB-103;0;26/02/2024;01/03/2024
2108;AB-103;0;26/02/2024;28/02/2024
2108;AB-103;0;21/02/2024;21/02/2024
2108;AB-103;0;26/02/2024;26/02/2024
2108;AB-103;0;26/02/2024;01/03/2024
2108;AB-103;0.5;21/02/2024;21/02/2024
2108;AB-103;0;23/02/2024;23/02/2024
2108;AB-103;0;19/02/2024;23/02/2024
2108;AB-103;0;01/03/2024;01/03/2024
2108;AB-103;0;26/02/2024;01/03/2024
2108;AB-103;0;27/02/2024;27/02/2024
2108;AB-103;0;23/02/2024;23/02/2024
2108;AB-103;0;26/02/2024;08/03/2024
2108;AB-103;0;13/03/2024;13/03/2024
2108;AB-103;0;14/03/2024;18/03/2024
2108;AB-103;0;21/02/2024;21/02/2024
2108;AB-103;0;04/03/2024;04/03/2024
2108;AB-103;0;29/02/2024;29/02/2024
2108;AB-103;0;23/02/2024;23/02/2024
2108;AB-103;0;08/03/2024;08/03/2024
2108;AB-103;0;01/03/2024;01/03/2024
2108;AB-103;0;21/03/2024;22/03/2024
2108;AB-103;0;26/02/2024;26/02/2024
2108;AB-103;0;08/03/2024;15/03/2024
2108;AB-103;0.5;05/03/2024;05/03/2024
2108;AB-103;0.5;05/03/2024;05/03/2024
2108;AB-103;0;26/02/2024;01/03/2024
2108;AB-103;0;28/02/2024;28/02/2024
2108;AB-103;0;19/02/2024;24/02/2024
2108;AB-103;0;26/02/2024;01/03/2024
2108;AB-103;0;26/02/2024;01/03/2024
2108;AB-103;0;21/03/2024;22/03/2024
2108;AB-103;0;23/02/2024;23/02/2024
2108;AB-103;0;04/03/2024;08/03/2024
2108;AB-103;0;29/02/2024;29/02/2024
2108;AB-103;0;22/03/2024;22/03/2024
2108;AB-103;0;29/02/2024;01/03/2024
2108;AB-103;0;26/02/2024;01/03/2024
2108;AB-103;0.5;22/03/2024;22/03/2024
2108;AB-103;0;23/02/2024;23/02/2024
2108;AB-103;0;26/02/2024;01/03/2024
2108;AB-103;0;14/03/2024;15/03/2024
2108;AB-103;0;06/03/2024;06/03/2024
2108;AB-103;0;08/03/2024;08/03/2024
2108;AB-103;0;23/02/2024;23/02/2024
2108;AB-103;0;23/02/2024;23/02/2024
2108;AB-103;0;26/02/2024;26/02/2024
2108;AB-103;0;19/02/2024;23/02/2024
2108;AB-103;0;19/02/2024;23/02/2024
2108;AB-103;0.5;01/03/2024;01/03/2024
2108;AB-103;0;26/02/2024;01/03/2024
2108;AB-103;0;19/02/2024;21/02/2024
2108;AB-103;0;23/02/2024;23/02/2024
2108;AB-103;0;26/02/2024;26/02/2024
2108;AB-103;0;04/03/2024;06/03/2024
2108;AB-103;0;12/03/2024;12/03/2024
2108;AB-103;0;19/02/2024;23/02/2024
2108;AB-103;0;08/03/2024;08/03/2024
2108;AB-132;0;21/03/2024;24/03/2024
2108;EV-NO;5;;
2108;EV-NO;0.5;;
2108;EV-NO;1;;
2108;EV-NO;7;;
2108;EV-NO;3;;
2108;EV-NO;2;;
2108;EV-NO;6;;
2108;EV-NO;10;;
2108;EV-NO;2;;
2108;EV-NO;5;;
2108;EV-NO;1;;
2108;EV-NO;5;;
2108;EV-NO;1.5;;
2108;EV-NO;5;;
2108;EV-NO;0.5;;
2108;EV-NO;5;;
2108;EV-NO;5;;
2108;EV-NO;1;;
2108;EV-NO;1;;
2108;EV-NO;3;;
2108;EV-NO;1;;
2108;EV-NO;1;;
2108;EV-NO;2;;
2108;EV-NO;0.5;;
2108;EV-NO;1;;
2108;EV-NO;5;;
2108;EV-NO;5;;
2108;EV-NO;5;;
2108;EV-NO;5;;
2108;EV-NO;2;;
2108;EV-NO;1;;
2108;EV-NO;1;;
2108;EV-NO;1;;
2108;EV-NO;1;;
2108;EV-NO;5;;
2108;EV-NO;5;;
2108;EV-NO;1;;
2108;EV-NO;3;;
2108;EV-NO;0.5;;
2108;EV-NO;5;;
2108;EV-NO;5;;
2108;EV-NO;5;;
2108;EV-NO;1;;
2108;EV-NO;0.5;;
2108;EV-NO;3;;
2108;EV-NO;1;;
2108;EV-NO;5;;
2108;EV-NO;1;;
2108;EV-NO;0.5;;
2108;EV-NO;3;;
2108;EV-NO;1;;
2108;EV-NO;1;;
2108;EV-NO;2;;
2108;EV-NO;1;;
2108;EV-NO;2;;
2108;EV-NO;5;;
2108;EV-NO;1;;
2108;EV-NO;5;;
2108;EV-NO;1;;
2108;EV-NO;1;;
2108;EV-NO;1;;
2108;EV-NO;6;;
2108;EV-NO;2;;
2108;EV-NO;5;;
2108;HS-NH;-2;;
